Season,Characters
Season_3,Daniel Moncada as Leonel Salamanca
Season_3,Charles Baker as Skinny Pete
Season_3,Jeremiah Bitsui as Victor
Season_3,Steve Corona as Orderly
Season_3,Christopher Dempsey as ER Doctor #1
Season_3,Lora Cunningham as ER Doctor #2
Season_3,Brian Lax as EMT
Season_3,John Welker as Lead Doctor
Season_3,Kevin Brown as APD Officer
Season_3,Ken Thomas as Friendly Agent
Season_3,Rosa Estrada as Doctor
Season_3,John Augustini as Tim
Season_3,Angela Blake as Nurse
Season_3,Joe Freeman as The Assassin
Season_3,Timothy Holmes as DEA
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Christopher Cousins as Ted Beneke
Season_3,Steven Michael Quezada as Steven Gomez
Season_3,Matt Jones as Badger
Season_3,Jere Burns as Group Leader
Season_3,Mark Harelik as Doctor
Season_3,Charles Baker as Skinny Pete
Season_3,Jeremiah Bitsui as Victor
Season_3,Cynthia Ruffin as Hospital Administrator
Season_3,Fernando Escandon as Commercial Narrator
Season_3,Phil Arnold as Restaurant Patron
Season_3,Laina Loucks as Rehab Group Girl
Season_3,Bryan Cranston as Walter White
Season_3,"Anna Gunn as Skyler White (credit only, stock audio from ""Phoenix"")"
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader (credit only)
Season_3,Betsy Brandt as Marie Schrader (credit only)
Season_3,RJ Mitte as Walter White Jr. (credit only)
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Krysten Ritter as Jane Margolis
Season_3,Matt Jones as Badger
Season_3,Jere Burns as Group Leader
Season_3,Emily Rios as Andrea Cantillo
Season_3,Charles Baker as Skinny Pete
Season_3,Ian Posada as Brock
Season_3,Angelo Martinez as Tomas
Season_3,Virginia Montero as Grandma
Season_3,Marius Stan as Bogdan
Season_3,Mike Seal as Rival Dealer #1
Season_3,Antonio Leyba as Rival Dealer #2
Season_3,Rebecca Crago as Physical Therapist
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader
Season_3,Betsy Brandt as Marie Schrader
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Jonathan Banks as Mike Ehrmantraut
Season_3,Emily Rios as Andrea Cantillo
Season_3,Jeremiah Bitsui as Victor
Season_3,Julia Minesci as Wendy
Season_3,Ian Posada as Brock
Season_3,Angelo Martinez as Tomas
Season_3,Mike Seal as Rival Dealer #1
Season_3,Antonio Leyba as Rival Dealer #2
Season_3,Andrea Good as Laundry Worker
Season_3,Bryan Cranston as Walter White
Season_3,Anna Gunn as Skyler White
Season_3,Aaron Paul as Jesse Pinkman
Season_3,Dean Norris as Hank Schrader (credit only)
Season_3,Betsy Brandt as Marie Schrader (credit only)
Season_3,RJ Mitte as Walter White Jr.
Season_3,Bob Odenkirk as Saul Goodman
Season_3,Giancarlo Esposito as Gustavo Fring
Season_3,Jonathan Banks as Mike Ehrmantraut
Season_3,David Costabile as Gale Boetticher
Season_3,Jeremiah Bitsui as Victor
Season_3,Louis Herthum as Realtor
Season_3,Kaija Roze Bales as Granddaughter
Season_3,James Ning as Chow
Season_3,Tiley Chao as Peng
Season_3,Eddie J. Fernandez as Cartel Gunman #1
Season_3,Ben Bray as Cartel Gunman #2
Season_3,Toby Holguin as Cartel Gunman #3
Season_3,Eddie Perez as Cartel Gunman #4
Season_3,Unknown actress as Stacey Ehrmantraut
Season_4,Bryan Cranston as Walter White
Season_4,Anna Gunn as Skyler White
Season_4,Aaron Paul as Jesse Pinkman
Season_4,Dean Norris as Hank Schrader
Season_4,Betsy Brandt as Marie Schrader
Season_4,RJ Mitte as Walter White Jr.
Season_4,Bob Odenkirk as Saul Goodman
Season_4,Giancarlo Esposito as Gustavo Fring
