Season,Characters
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Jane Margolis
Season_3,Badger
Season_3,Group Leader
Season_3,Andrea Cantillo
Season_3,Skinny Pete
Season_3,Brock
Season_3,Tomas
Season_3,Grandma
Season_3,Bogdan
Season_3,Rival Dealer
Season_3,Rival Dealer
Season_3,Physical Therapist
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Mike Ehrmantraut
Season_3,Andrea Cantillo
Season_3,Victor
Season_3,Wendy
Season_3,Brock
Season_3,Tomas
Season_3,Rival Dealer
Season_3,Rival Dealer
Season_3,Laundry Worker
Season_3,Walter White
Season_3,Skyler White
Season_3,Jesse Pinkman
Season_3,Hank Schrader
Season_3,Marie Schrader
Season_3,Walter White Jr.
Season_3,Saul Goodman
Season_3,Gustavo Fring
Season_3,Mike Ehrmantraut
Season_3,Gale Boetticher
Season_3,Victor
Season_3,Realtor
Season_3,Granddaughter
Season_3,Chow
Season_3,Peng
Season_3,Cartel Gunman
Season_3,Cartel Gunman
Season_3,Cartel Gunman
Season_3,Cartel Gunman
Season_3,Stacey Ehrmantraut
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Gale Boetticher
Season_4,Victor
Season_4,Huell
Season_4,Francesca
Season_4,Locksmith
Season_4,Neighbor
Season_4,Waitress
Season_4,Cab Driver
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Lawson
Season_4,Badger
Season_4,Andrea Cantillo
Season_4,Skinny Pete
Season_4,Bogdan
Season_4,Tyrus
Season_4,Chuck
Season_4,Brock
Season_4,Biker
Season_4,Delivery Man
Season_4,Party Girl
Season_4,Commercial Voice Over
Season_4,Car Wash Patron
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,APD Detective Tim Roberts
Season_4,Stephanie Doswell
Season_4,Patrick Kuby
Season_4,Sketchy
Season_4,Bogdan
Season_4,Huell
Season_4,Tyrus
Season_4,First Realtor
Season_4,Female Homeowner
Season_4,Male Homeowner
Season_4,Partygoer
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Gale Boetticher
Season_4,Sketchy
Season_4,Tyrus
Season_4,Tweaker Thief
Season_4,Support Group Leader
Season_4,Morning After Girl
Season_4,Gunman
Season_4,Gunman
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,APD Detective Tim Roberts
Season_4,Tyrus
Season_4,Pollos Manager
Season_4,Mortgage Broker
Season_4,Lucy
Season_4,Banger
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Gaff
Season_4,Scary Skell
Season_4,Tucker
Season_4,Tyrus
Season_4,Bogdan
Season_4,Truck Guard
Season_4,Truck Guard
Season_4,Cartel Henchman
Season_4,Laundry Woman
Season_4,Laundry Woman
Season_4,Laundry Woman
Season_4,Laundry Worker
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Gale Boetticher
Season_4,Steven Gomez
Season_4,Group Leader
Season_4,ASAC George Merkert
Season_4,Gaff
Season_4,Colleen
Season_4,Support Group Member
Season_4,Mike's Security Team
Season_4,Mike's Security Team
Season_4,Cartel Henchman
Season_4,Ben
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Hector Salamanca
Season_4,Steven Gomez
Season_4,Andrea Cantillo
Season_4,ASAC George Merkert
Season_4,Juan Bolsa
Season_4,APD Detective Tim Roberts
Season_4,Max Arciniega
Season_4,Don Eladio Vuente
Season_4,Huell
Season_4,Brock
Season_4,Cancer Patient
Season_4,Leonel Salamanca
Season_4,Restaurant Patron
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Ted Beneke
Season_4,Gaff
Season_4,CID Special Agent James Picarus
Season_4,Tyrus
Season_4,Car Wash Customer
Season_4,Mike's Security Team Member
Season_4,Chris Mara
Season_4,Carwash Customer
Season_4,Carwash Customer
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Ted Beneke
Season_4,Gaff
Season_4,Benicio Fuentes
Season_4,Don Eladio Vuente
Season_4,Tyrus
Season_4,Francesca
Season_4,Waiter
Season_4,Miguel
Season_4,Sexy Cartel Girl
Season_4,Amber
Season_4,Female Employee
Season_4,Joaquin Salamanca
Season_4,Don Paco
Season_4,Don Cesar
Season_4,Don Renaldo
Season_4,Don Artuno
Season_4,Don Cisco
Season_4,Don Luis
Season_4,Don Escalada
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Hector Salamanca
Season_4,Ted Beneke
Season_4,Andrea Cantillo
Season_4,Patrick Kuby
Season_4,Barry Goodman
Season_4,Tyrus
Season_4,Huell
Season_4,Francesca
Season_4,Brock
Season_4,Chris Mara
Season_4,Car Wash Attendant
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Steven Gomez
Season_4,Andrea Cantillo
Season_4,Tyrus Kitt
Season_4,Dennis Markowski
Season_4,Huell
Season_4,Francesca
Season_4,Brock
Season_4,Grandma
Season_4,Pediatric Nurse
Season_4,DEA Agent
Season_4,Dog Handler
Season_4,Chris Mara
Season_4,Walter White
Season_4,Skyler White
Season_4,Jesse Pinkman
Season_4,Hank Schrader
Season_4,Marie Schrader
Season_4,Walter White Jr.
Season_4,Saul Goodman
Season_4,Gustavo Fring
Season_4,Mike Ehrmantraut
Season_4,Hector Salamanca
Season_4,Steven Gomez
Season_4,ASAC George Merkert
Season_4,Tyrus Kitt
Season_4,Caregiver
Season_4,Detective Kalanchoe
Season_4,Francesca
Season_4,Detective Munn
Season_4,DEA Agent
Season_4,Gus' Operative
Season_4,News Reporter
Season_4,Little Old Lady
Season_4,Bingo Caller
Season_4,Radio DJ
Season_4,Radio DJ
Season_4,Harry Lipenstein
Season_4,Chris Mara
Season_4,Rebecca Simmons
Season_4,Hospital Patient
Season_4,DEA Agent
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Ted Beneke
Season_5A,Steven Gomez
Season_5A,Lawson
Season_5A,Old Joe
Season_5A,Barry Goodman
Season_5A,Duty Officer
Season_5A,Waitress
Season_5A,Nurse
Season_5A,Woman in Denny's
Season_5A,Magnet Guy
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Lydia Rodarte-Quayle
Season_5A,Steven Gomez
Season_5A,ASAC George Merket
Season_5A,Peter Schuler
Season_5A,Mr. Herzog
Season_5A,Chief Food Technician
Season_5A,Chow
Season_5A,Kaylee
Season_5A,Chris
Season_5A,Nanny
Season_5A,Waitress
Season_5A,Secretary
Season_5A,Lawyer
Season_5A,Detective
Season_5A,Kiira
Season_5A,DEA Agent
Season_5A,Madrigal Suit
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Badger
Season_5A,Andrea Cantillo
Season_5A,Todd Alquist
Season_5A,Dennis Markowski
Season_5A,Ira
Season_5A,Skinny Pete
Season_5A,Huell Babineaux
Season_5A,Brock
Season_5A,Sandor
Season_5A,Fernando
Season_5A,Defense Attorney
Season_5A,Deputy
Season_5A,Salesman
Season_5A,Homeowner
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Lydia Rodarte-Quayle
Season_5A,Steven Gomez
Season_5A,S.A.C. Ramey
Season_5A,Ron
Season_5A,Secretary
Season_5A,Mechanic
Season_5A,Warehouse Worker
Season_5A,Walter White
Season_5A,Skyler White
Season_5A,Jesse Pinkman
Season_5A,Hank Schrader
Season_5A,Marie Schrader
Season_5A,Walter White Jr.
Season_5A,Saul Goodman
Season_5A,Mike Ehrmantraut
Season_5A,Lydia Rodarte-Quayle
Season_5A,Todd Alquist
Season_5A,Steven Gomez
